,Year,Team,Seed,Region,Proj_Wins_Safe,Wins
349,2019,UCF,9,East,0.662530855463686,1
249,2019,Oklahoma,9,South,0.6929500999077309,1
337,2019,Villanova,6,South,1.17734760693223,1
334,2019,Washington,9,Midwest,0.7643223284310978,1
358,2019,Wofford,7,Midwest,0.7263337524079807,1
194,2019,Florida,10,West,0.7494861809720715,1
207,2019,Baylor,9,West,0.6245605675923588,1
220,2019,Murray St.,12,West,0.4678898284256756,1
203,2019,Liberty,12,East,0.31043451128862704,1
199,2019,Iowa,10,South,0.8144995600059827,1
350,2019,UC Irvine,13,South,0.5539050564212749,1
239,2019,Ohio St.,11,Midwest,0.5452745707766583,1
678,2019,Mississippi St.,5,East,1.1948363112889735,0
743,2019,Wisconsin,5,South,1.3359558594063685,0
680,2019,Nevada,7,West,0.9713201902735642,0
685,2019,Marquette,5,West,0.7464913880177817,0
710,2019,Syracuse,8,West,0.7316944355892059,0
702,2019,Cincinnati,7,South,1.337909376651445,0
703,2019,Kansas St.,4,South,1.1058978540366131,0
709,2019,Iowa St.,6,Midwest,1.1836609817510546,0
679,2019,Montana,15,West,0.24071548295847864,0
684,2019,Northern Kentucky,14,West,0.28132945858764896,0
687,2019,Prairie View A&M,16,West,0.134236679203259,0
691,2019,St. John's,11,West,0.42774780240865634,0
700,2019,Arizona St.,11,West,0.5393854741990226,0
705,2019,Fairleigh Dickinson,16,West,0.10122952168841319,0
744,2019,Vermont,13,West,0.3631083801202241,0
682,2019,North Carolina Central,16,East,0.0708576636369597,0
683,2019,North Dakota St.,16,East,0.11451062375417784,0
688,2019,Saint Louis,13,East,0.43795588288133497,0
693,2019,Louisville,7,East,0.8011127801942335,0
695,2019,Bradley,15,East,0.13673096207552352,0
701,2019,Belmont,11,East,0.48144343024476877,0
711,2019,Temple,11,East,0.6021654983863312,0
721,2019,VCU,8,East,0.545150902328403,0
742,2019,Yale,14,East,0.28355238813104094,0
686,2019,Old Dominion,14,South,0.41245836448118883,0
689,2019,Saint Mary's,11,South,0.5611922185668454,0
692,2019,Mississippi,8,South,0.5672727104645179,0
704,2019,Colgate,15,South,0.24486626621372806,0
706,2019,Gardner Webb,16,South,0.1462402381571854,0
534,2019,Abilene Christian,15,Midwest,0.2037985930990496,0
677,2019,Northeastern,13,Midwest,0.2800062798421997,0
681,2019,New Mexico St.,12,Midwest,0.593275278653599,0
690,2019,Seton Hall,10,Midwest,0.5458210433398746,0
707,2019,Georgia St.,14,Midwest,0.31411150591355713,0
708,2019,Iona,16,Midwest,0.11496640031223004,0
712,2019,Utah St.,8,Midwest,0.6005471674133344,0
10,2018,Villanova,1,East,3.4180591609994746,6
21,2018,Michigan,3,West,1.956467105817324,5
38,2018,Kansas,1,Midwest,2.2283470815749835,4
28,2018,Loyola Chicago,11,South,0.44037031321854897,4
51,2018,Duke,2,Midwest,2.716289208129291,3
80,2018,Texas Tech,3,East,1.0247600307212141,3
58,2018,Florida St.,9,West,0.7803413209065935,3
49,2018,Kansas St.,9,South,0.6773910371296312,3
159,2018,Purdue,2,East,2.1673567637846283,2
178,2018,Gonzaga,4,West,1.8117590048282712,2
143,2018,West Virginia,5,East,1.2845625790780035,2
102,2018,Texas A&M,7,West,1.0016192089688132,2
174,2018,Nevada,7,South,0.9609145580380185,2
184,2018,Kentucky,5,South,1.5437994043827254,2
157,2018,Syracuse,11,Midwest,0.8198562062702613,2
169,2018,Clemson,5,Midwest,1.0001466594369726,2
250,2018,North Carolina,2,West,2.4490413784464327,1
196,2018,Xavier,1,West,1.981392456181699,1
227,2018,Cincinnati,2,South,2.180151961272856,1
229,2018,Tennessee,3,South,1.2768120945227557,1
213,2018,Michigan St.,3,Midwest,2.1841602749826325,1
261,2018,Auburn,4,Midwest,1.0959761314057361,1
197,2018,Houston,6,West,0.7671749922916822,1
246,2018,Ohio St.,5,West,1.102555948042326,1
202,2018,Florida,6,East,0.9488046265047657,1
