,Year,Team,Proj_Wins_Safer,Wins_Rank_Safer
365,2019,Florida,0.8882803833721451,27
366,2019,Baylor,0.6123038215181397,36
367,2019,Murray St.,0.39361390233131954,50
358,2019,Minnesota,0.6956645416503293,34
368,2019,Liberty,0.29031619782894297,55
369,2019,Iowa,0.69839549350055,33
370,2019,UC Irvine,0.510247877878762,44
371,2019,Ohio St.,0.49701553609598503,46
373,2019,Wisconsin,1.338907541707541,15
374,2019,Nevada,0.9083725263777602,26
375,2019,Marquette,0.7401788451876218,32
376,2019,Syracuse,0.8424024411456028,29
372,2019,Mississippi St.,1.2956059895738035,18
390,2019,Louisville,0.8051601838645137,31
377,2019,Cincinnati,1.2596318205520776,20
378,2019,Kansas St.,1.3036609812183482,16
379,2019,Iowa St.,1.0983698727767486,22
380,2019,Montana,0.20242615215485196,59
381,2019,Northern Kentucky,0.23421466754350745,57
382,2019,Prairie View A&M,0.10172379657385974,64
383,2019,St. John's,0.43055725060785555,48
384,2019,Arizona St.,0.4904675326517286,47
385,2019,Fairleigh Dickinson,0.07296763372317874,67
386,2019,Vermont,0.3145609240450786,53
387,2019,North Carolina Central,0.05006461283050723,68
388,2019,North Dakota St.,0.08517755568124513,65
389,2019,Saint Louis,0.370787452686656,51
391,2019,Bradley,0.10421012157028425,63
392,2019,Belmont,0.4178270639842926,49
393,2019,Temple,0.5634673484925165,41
394,2019,VCU,0.556026447282619,42
395,2019,Yale,0.23191003355115195,58
396,2019,Old Dominion,0.361643418824979,52
397,2019,Saint Mary's,0.5897823780085036,38
398,2019,Mississippi,0.5783252169753569,40
399,2019,Colgate,0.20008512574770732,60
400,2019,Gardner Webb,0.10633055401707353,62
401,2019,Abilene Christian,0.1565175691339221,61
402,2019,Northeastern,0.2387455183642586,56
403,2019,New Mexico St.,0.59972104114918,37
404,2019,Seton Hall,0.5099525648108232,45
405,2019,Georgia St.,0.30070310352757995,54
406,2019,Iona,0.08422997869935826,66
407,2019,Utah St.,0.5251541725815385,43
272,2021,Baylor,2.891055463185997,4
273,2021,Gonzaga,3.4100335580860976,1
274,2021,Houston,2.1673480437259336,7
275,2021,UCLA,0.8831164277324105,29
276,2021,Michigan,2.26383878767425,5
277,2021,USC,1.7332122285718508,9
278,2021,Arkansas,1.4856810851044218,13
279,2021,Oregon St.,0.5267099775522702,45
280,2021,Alabama,3.103503708187491,2
281,2021,Creighton,1.110079944506092,22
282,2021,Oregon,1.183497409869399,18
283,2021,Florida St.,0.9849229599439049,27
284,2021,Villanova,1.1207196988392885,21
285,2021,Oral Roberts,0.12800681309760117,61
286,2021,Syracuse,0.7926297742251314,33
287,2021,Loyola Chicago,0.6829531938816376,35
288,2021,Illinois,3.0503920221229075,3
289,2021,Iowa,2.1922514091927607,6
290,2021,Colorado,1.6184892811325076,10
291,2021,West Virginia,1.066079256857657,23
292,2021,Oklahoma St.,1.2279220252348373,17
293,2021,Kansas,1.5375250347667353,11
294,2021,LSU,1.2890197041674356,16
295,2021,Florida,0.6804035619761349,36
296,2021,Texas Tech,0.8605006525900545,31
298,2021,Oklahoma,0.5845126315705543,42
299,2021,Ohio,0.25418756935970904,55
300,2021,Maryland,0.594068519771294,41
301,2021,Abilene Christian,0.2710629887984962,52
302,2021,Wisconsin,1.1411637891042887,20
303,2021,North Texas,0.2649967070109401,53
297,2021,Rutgers,0.77684619187085,34
304,2021,Ohio St.,1.8079564703490445,8
305,2021,Virginia,1.1447451157672566,19
306,2021,Texas,1.5231307630564377,12
307,2021,Purdue,1.2993916650107127,15
308,2021,Missouri,0.6349063056688304,38
309,2021,Connecticut,0.993442485689427,26
310,2021,BYU,0.9646879747367468,28
311,2021,North Carolina,1.3774273854557675,14
312,2021,San Diego St.,1.039071925578335,24
313,2021,Tennessee,1.024503390125708,25
314,2021,Georgia Tech,0.8311300681863791,32
339,2021,Clemson,0.8726721216209983,30
315,2021,VCU,0.5777733860132326,43
316,2021,Wichita St.,0.42864608671022963,49
317,2021,UC Santa Barbara,0.461939415033246,47
318,2021,Norfolk St.,0.09477755149304,66
319,2021,Grand Canyon,0.20607227316410073,58
320,2021,Eastern Washington,0.17230600412833677,60
321,2021,Drake,0.608946033366686,40
322,2021,Appalachian St.,0.08731936803342541,67
323,2021,UNC Greensboro,0.3561238565516641,51
324,2021,Michigan St.,0.6466854530179035,37
325,2021,Mount St. Mary's,0.08307692555296078,68
326,2021,St. Bonaventure,0.6109626346266367,39
327,2021,Texas Southern,0.11778023175080932,63
328,2021,Iona,0.11157010289870466,64
329,2021,Georgetown,0.530749683848154,44
330,2021,Virginia Tech,0.43526811243470115,48
331,2021,Winthrop,0.4046785326486956,50
332,2021,Utah St.,0.5179777619813501,46
333,2021,Hartford,0.12109245477888293,62
334,2021,Colgate,0.25861430180254025,54
335,2021,Liberty,0.2455029881954585,56
336,2021,Morehead St.,0.2302394757894965,57
337,2021,Drexel,0.11116270325121971,65
338,2021,Cleveland St.,0.1909385719719432,59
204,2022,Kansas,3.0554503470710768,1
205,2022,North Carolina,1.1750768138355525,17
206,2022,Duke,2.483327424293693,4
207,2022,Villanova,2.388282916202583,7
208,2022,Houston,2.0436667195748597,9
209,2022,Arkansas,0.940218996440863,23
210,2022,Saint Peter's,0.1388410076686985,65
211,2022,Miami FL,0.8131039922648944,30
212,2022,Arizona,2.5909758865339834,3
213,2022,Gonzaga,2.482299923543854,5
214,2022,Texas Tech,1.3545919312862984,14
215,2022,UCLA,1.8186933267333218,12
216,2022,Purdue,1.7585082725390757,13
217,2022,Michigan,0.7361271588025644,33
218,2022,Providence,0.840866561063383,28
219,2022,Iowa St.,0.713258768017135,36
220,2022,Baylor,2.609196699973224,2
222,2022,Auburn,1.8944704707645175,10
221,2022,Tennessee,2.3052916765915055,8
223,2022,Wisconsin,1.2468957027868497,15
224,2022,Michigan St.,0.8262772758124856,29
225,2022,Texas,1.185236800900682,16
226,2022,Saint Mary's,1.0473495710394092,21
