,Season,Team Name,Seed,Region,Year,Team
383,2021,Gonzaga,1,West,2021,Gonzaga
384,2021,Norfolk State,16,West,2021,Norfolk State
385,2021,App State,16,West,2021,App State
386,2021,Oklahoma,8,West,2021,Oklahoma
387,2021,Missouri,9,West,2021,Missouri
388,2021,Creighton,5,West,2021,Creighton
389,2021,UC Santa Barbara,12,West,2021,UC Santa Barbara
390,2021,Virginia,4,West,2021,Virginia
391,2021,Ohio,13,West,2021,Ohio
392,2021,USC,6,West,2021,USC
393,2021,Drake,11,West,2021,Drake
394,2021,Wichita State,11,West,2021,Wichita State
395,2021,Kansas,3,West,2021,Kansas
396,2021,Eastern Washington,14,West,2021,Eastern Washington
397,2021,Oregon,7,West,2021,Oregon
398,2021,VCU,10,West,2021,VCU
399,2021,Iowa,2,West,2021,Iowa
400,2021,Grand Canyon,15,West,2021,Grand Canyon
401,2021,Michigan,1,East,2021,Michigan
402,2021,Texas Southern,16,East,2021,Texas Southern
403,2021,Mount St. Mary's,16,East,2021,Mount St. Mary's
404,2021,LSU,8,East,2021,LSU
405,2021,St. Bonaventure,9,East,2021,St. Bonaventure
406,2021,Colorado,5,East,2021,Colorado
407,2021,Georgetown,12,East,2021,Georgetown
408,2021,Florida State,4,East,2021,Florida State
409,2021,UNC Greensboro,13,East,2021,UNC Greensboro
410,2021,BYU,6,East,2021,BYU
411,2021,UCLA,11,East,2021,UCLA
412,2021,Michigan State,11,East,2021,Michigan State
413,2021,Texas,3,East,2021,Texas
414,2021,Abilene Christian,14,East,2021,Abilene Christian
415,2021,UConn,7,East,2021,UConn
416,2021,Maryland,10,East,2021,Maryland
417,2021,Alabama,2,East,2021,Alabama
418,2021,Iona,15,East,2021,Iona
419,2021,Baylor,1,South,2021,Baylor
420,2021,Hartford,16,South,2021,Hartford
421,2021,North Carolina,8,South,2021,North Carolina
422,2021,Wisconsin,9,South,2021,Wisconsin
423,2021,Villanova,5,South,2021,Villanova
424,2021,Winthrop,12,South,2021,Winthrop
425,2021,Purdue,4,South,2021,Purdue
426,2021,North Texas,13,South,2021,North Texas
427,2021,Texas Tech,6,South,2021,Texas Tech
428,2021,Utah State,11,South,2021,Utah State
429,2021,Arkansas,3,South,2021,Arkansas
430,2021,Colgate,14,South,2021,Colgate
431,2021,Florida,7,South,2021,Florida
432,2021,Virginia Tech,10,South,2021,Virginia Tech
433,2021,Ohio State,2,South,2021,Ohio State
434,2021,Oral Roberts,15,South,2021,Oral Roberts
435,2021,Illinois,1,Midwest,2021,Illinois
436,2021,Drexel,16,Midwest,2021,Drexel
437,2021,Loyola Chicago,8,Midwest,2021,Loyola Chicago
438,2021,Georgia Tech,9,Midwest,2021,Georgia Tech
439,2021,Tennessee,5,Midwest,2021,Tennessee
440,2021,Oregon State,12,Midwest,2021,Oregon State
441,2021,Oklahoma State,4,Midwest,2021,Oklahoma State
442,2021,Liberty,13,Midwest,2021,Liberty
443,2021,San Diego State,6,Midwest,2021,San Diego State
444,2021,Syracuse,11,Midwest,2021,Syracuse
445,2021,West Virginia,3,Midwest,2021,West Virginia
446,2021,Morehead State,14,Midwest,2021,Morehead State
447,2021,Clemson,7,Midwest,2021,Clemson
448,2021,Rutgers,10,Midwest,2021,Rutgers
449,2021,Houston,2,Midwest,2021,Houston
450,2021,Cleveland State,15,Midwest,2021,Cleveland State
451,2019,Duke,1,East,2019,Duke
452,2019,North Dakota State,16,East,2019,North Dakota State
453,2019,North Carolina Central,16,East,2019,North Carolina Central
454,2019,VCU,8,East,2019,VCU
455,2019,UCF,9,East,2019,UCF
456,2019,Mississippi State,5,East,2019,Mississippi State
457,2019,Liberty,12,East,2019,Liberty
458,2019,Virginia Tech,4,East,2019,Virginia Tech
459,2019,Saint Louis,13,East,2019,Saint Louis
460,2019,Maryland,6,East,2019,Maryland
461,2019,Belmont,11,East,2019,Belmont
462,2019,Temple,11,East,2019,Temple
463,2019,LSU,3,East,2019,LSU
464,2019,Yale,14,East,2019,Yale
465,2019,Louisville,7,East,2019,Louisville
466,2019,Minnesota,10,East,2019,Minnesota
467,2019,Michigan State,2,East,2019,Michigan State
468,2019,Bradley,15,East,2019,Bradley
469,2019,Gonzaga,1,West,2019,Gonzaga
470,2019,Fairleigh Dickinson,16,West,2019,Fairleigh Dickinson
471,2019,Prairie View A&M,16,West,2019,Prairie View A&M
472,2019,Syracuse,8,West,2019,Syracuse
473,2019,Baylor,9,West,2019,Baylor
474,2019,Marquette,5,West,2019,Marquette
475,2019,Murray State,12,West,2019,Murray State
476,2019,Florida State,4,West,2019,Florida State
477,2019,Vermont,13,West,2019,Vermont
478,2019,Buffalo,6,West,2019,Buffalo
479,2019,Arizona State,11,West,2019,Arizona State
480,2019,St. John's,11,West,2019,St. John's
481,2019,Texas Tech,3,West,2019,Texas Tech
482,2019,Northern Kentucky,14,West,2019,Northern Kentucky
483,2019,Nevada,7,West,2019,Nevada
484,2019,Florida,10,West,2019,Florida
485,2019,Michigan,2,West,2019,Michigan
486,2019,Montana,15,West,2019,Montana
487,2019,Virginia,1,South,2019,Virginia
488,2019,Gardner-Webb,16,South,2019,Gardner-Webb
489,2019,Ole Miss,8,South,2019,Ole Miss
490,2019,Oklahoma,9,South,2019,Oklahoma
491,2019,Wisconsin,5,South,2019,Wisconsin
492,2019,Oregon,12,South,2019,Oregon
493,2019,Kansas State,4,South,2019,Kansas State
494,2019,UC Irvine,13,South,2019,UC Irvine
495,2019,Villanova,6,South,2019,Villanova
496,2019,Saint Mary's,11,South,2019,Saint Mary's
497,2019,Purdue,3,South,2019,Purdue
498,2019,Old Dominion,14,South,2019,Old Dominion
499,2019,Cincinnati,7,South,2019,Cincinnati
