Year,Team,Conf,Seed,Wins,Won_ConfT,Round_32,Sweet_16,Elite_8,Final_4,Champ_Game,Won_Natty,AdjO,AdjD,AdjEM,BARTHAG,EFG%,EFG%D,FT%,FTR,FTRD,TOV%,TOV%D,TOV%_Diff,OREB%,DREB%,2PT%,2PTR,2PT%D,2PTRD,3PT%,3PTR,3PT%D,3PTRD,AST%,Height,Experience,Talent,AdjT,W,Elite_SOS,WAB
2025,Saint Francis,NEC,16,0,0,0,0,0,0,0,0,99.7234,112.484,-12.7602,0.211,0.516,0.513,0.725,0.238,0.287,0.196,0.164,-0.032,0.254,0.7,0.526,0.581,0.534,0.568,0.334,0.419,0.323,0.432,0.503,78.644,1.173,0.2,66.9974,13,12.764,-12.2
2025,Saint Mary's,WCC,7,1,0,1,0,0,0,0,0,115.324,92.2318,23.0917,0.922,0.509,0.462,0.695,0.314,0.25,0.151,0.166,0.015,0.405,0.751,0.518,0.666,0.458,0.687,0.326,0.334,0.312,0.313,0.571,81.447,1.982,48.461,61.7537,27,22.682,4.1
2025,San Diego St.,MWC,11,0,0,0,0,0,0,0,0,109.848,93.5742,16.2735,0.839,0.506,0.453,0.667,0.321,0.372,0.168,0.197,0.029,0.294,0.691,0.516,0.606,0.45,0.527,0.328,0.394,0.304,0.473,0.509,81.937,1.611,41.617,66.1184,20,27.647,0.9
2025,SIU Edwardsville,OVC,16,0,0,0,0,0,0,0,0,101.933,106.247,-4.31392,0.38,0.489,0.475,0.679,0.331,0.332,0.171,0.173,0.002,0.318,0.709,0.478,0.637,0.463,0.614,0.340,0.363,0.33,0.386,0.514,80.792,2.225,7.282,65.8961,19,8.164,-7.8
2025,St. John's,BE,2,1,1,1,0,0,0,0,0,113.938,87.5628,26.3752,0.936,0.497,0.466,0.689,0.302,0.304,0.156,0.219,0.063,0.373,0.711,0.515,0.697,0.458,0.592,0.304,0.303,0.318,0.408,0.537,80.533,2.12,64.078,70.1918,30,27.94,7.8
2025,Tennessee,SEC,2,3,0,1,1,1,0,0,0,119.981,88.5426,31.4386,0.957,0.528,0.444,0.743,0.354,0.294,0.16,0.178,0.018,0.354,0.699,0.541,0.57,0.467,0.549,0.340,0.43,0.278,0.451,0.602,81.352,2.65,51.743,63.6241,27,41.282,9.3
2025,Texas,SEC,11,0,0,0,0,0,0,0,0,116.755,99.6019,17.1527,0.852,0.525,0.484,0.749,0.366,0.393,0.143,0.166,0.023,0.298,0.703,0.518,0.646,0.475,0.638,0.360,0.354,0.333,0.362,0.475,80.717,2.185,60.878,67.4356,19,37.234,0.04
2025,Texas A&M,SEC,4,1,0,1,0,0,0,0,0,116.281,92.2075,24.0735,0.924,0.475,0.482,0.695,0.417,0.353,0.182,0.197,0.015,0.42,0.722,0.48,0.624,0.465,0.53,0.311,0.376,0.334,0.47,0.477,79.763,2.764,69.423,66.2185,22,39.956,5.2
2025,Texas Tech,B12,3,3,0,1,1,1,0,0,0,125.335,97.2799,28.0555,0.955,0.555,0.48,0.764,0.297,0.335,0.148,0.174,0.026,0.343,0.715,0.543,0.554,0.482,0.659,0.379,0.446,0.317,0.341,0.585,79.854,1.972,36.947,65.4879,25,35.224,5.8
2025,Troy,SB,14,0,0,0,0,0,0,0,0,107.706,100.828,6.87801,0.661,0.501,0.472,0.726,0.378,0.293,0.199,0.198,-0.001,0.386,0.68,0.539,0.552,0.462,0.619,0.303,0.448,0.326,0.381,0.556,80.146,1.661,0.2,66.3679,21,14.121,-4.5
2025,UC San Diego,BW,12,0,0,0,0,0,0,0,0,115.29,96.5133,18.7768,0.859,0.554,0.477,0.746,0.338,0.298,0.134,0.233,0.099,0.256,0.716,0.561,0.504,0.462,0.557,0.365,0.496,0.331,0.443,0.573,78.923,2.447,14.091,65.7295,28,12.106,1.2
2025,UCLA,B10,7,1,0,1,0,0,0,0,0,116.828,95.0405,21.7873,0.92,0.53,0.505,0.703,0.329,0.346,0.159,0.228,0.069,0.328,0.708,0.531,0.64,0.512,0.552,0.352,0.36,0.332,0.448,0.605,81.377,1.849,70.64,64.9617,22,34.636,3.3
2025,UNC Wilmington,CAA,14,0,0,0,0,0,0,0,0,112.326,107.183,5.14288,0.639,0.522,0.509,0.753,0.378,0.303,0.16,0.174,0.014,0.354,0.719,0.538,0.638,0.504,0.574,0.330,0.362,0.344,0.426,0.544,80.484,2.555,0.2,65.3908,25,8.683,-3.3
2025,Utah St.,MWC,10,0,0,0,0,0,0,0,0,120.785,105.555,15.2291,0.853,0.56,0.518,0.702,0.376,0.362,0.16,0.202,0.042,0.346,0.697,0.577,0.577,0.526,0.556,0.358,0.423,0.338,0.444,0.611,80.475,2.077,17.856,67.6245,25,23.021,2.3
2025,Vanderbilt,SEC,10,0,0,0,0,0,0,0,0,118.017,101.854,16.1626,0.862,0.517,0.529,0.747,0.34,0.39,0.147,0.2,0.053,0.322,0.703,0.536,0.598,0.515,0.625,0.325,0.402,0.369,0.375,0.501,78.997,1.973,36.79,69.5281,20,35.986,1.5
2025,VCU,A10,11,0,0,0,0,0,0,0,0,116.251,95.5473,20.7041,0.9,0.524,0.444,0.745,0.322,0.361,0.168,0.206,0.038,0.367,0.7,0.542,0.526,0.436,0.647,0.335,0.474,0.306,0.353,0.565,81.568,2.233,34.315,66.1584,27,16.375,1.1
2025,Wisconsin,B10,3,1,0,1,0,0,0,0,0,123.276,96.8339,26.4425,0.942,0.536,0.479,0.828,0.338,0.281,0.141,0.145,0.004,0.28,0.734,0.547,0.519,0.468,0.609,0.349,0.481,0.33,0.391,0.549,81.776,2.223,24.761,67.7504,26,35.559,5.9
2025,Wofford,SC,15,0,0,0,0,0,0,0,0,113.682,109.523,4.15908,0.547,0.533,0.518,0.668,0.311,0.362,0.169,0.149,-0.02,0.355,0.738,0.546,0.523,0.518,0.542,0.345,0.477,0.345,0.458,0.55,79.167,2.088,0.2,64.1094,17,12.682,-9.7
2025,Xavier,BE,11,0,0,0,0,0,0,0,0,115.459,98.2866,17.1723,0.88,0.539,0.506,0.794,0.372,0.281,0.16,0.176,0.016,0.252,0.748,0.513,0.626,0.505,0.628,0.388,0.374,0.339,0.372,0.639,80.414,2.524,42.959,69.1435,21,28.812,0.35
2025,Yale,Ivy,13,0,0,0,0,0,0,0,0,114.444,103.508,10.9363,0.746,0.548,0.488,0.736,0.32,0.287,0.144,0.161,0.017,0.332,0.742,0.534,0.68,0.473,0.52,0.385,0.32,0.337,0.48,0.534,79.601,1.876,9.807,67.4019,21,11.606,-2.7
2024,Akron,MAC,14,0,0,0,0,0,0,0,0,107.009,102.072,4.93709,0.596,0.52,0.486,0.724,0.336,0.29,0.172,0.166,-0.006,0.295,0.744,0.548,0.585,0.507,0.632,0.320,0.415,0.3,0.368,0.482,79.973,2.584,10.97,65.8933,22,11.931,-4.5
2024,Alabama,SEC,4,4,0,1,1,1,1,0,0,125.601,103.118,22.4828,0.913,0.563,0.499,0.784,0.352,0.396,0.16,0.156,-0.004,0.349,0.701,0.576,0.532,0.511,0.633,0.365,0.468,0.319,0.367,0.515,82.48,2.094,27.836,72.6461,21,36.254,3.4
2024,Arizona,P12,2,2,0,1,1,0,0,0,0,121.125,94.5013,26.6237,0.953,0.55,0.487,0.719,0.367,0.257,0.161,0.181,0.02,0.363,0.769,0.546,0.674,0.478,0.618,0.371,0.326,0.334,0.382,0.591,81.464,1.963,76.342,71.8379,25,29.931,4.9
2024,Auburn,SEC,4,0,1,0,0,0,0,0,0,120.579,91.6765,28.9026,0.957,0.541,0.434,0.752,0.382,0.41,0.149,0.182,0.033,0.329,0.697,0.549,0.625,0.428,0.667,0.352,0.375,0.298,0.333,0.62,80.951,2.195,43.053,69.7887,27,28.032,5.5
2024,Baylor,B12,3,1,0,1,0,0,0,0,0,122.49,100.185,22.305,0.91,0.556,0.513,0.74,0.405,0.309,0.177,0.171,-0.006,0.351,0.729,0.534,0.617,0.519,0.645,0.394,0.383,0.335,0.355,0.539,81.747,1.617,58.436,65.6032,22,37.902,5.1
2024,Boise St.,MWC,10,0,0,0,0,0,0,0,0,113.974,97.5892,16.3847,0.854,0.516,0.498,0.74,0.361,0.331,0.165,0.168,0.003,0.325,0.769,0.512,0.602,0.521,0.631,0.348,0.398,0.306,0.369,0.469,80.161,2.047,18.982,66.807,20,27.69,0.9
2024,BYU,B12,6,0,0,0,0,0,0,0,0,120.486,99.4765,21.0091,0.907,0.551,0.48,0.738,0.253,0.321,0.152,0.16,0.008,0.328,0.753,0.58,0.493,0.482,0.659,0.348,0.507,0.318,0.341,0.632,81.22,2.232,19.483,69.0581,23,30.879,2.9
2024,Clemson,ACC,6,3,0,1,1,1,0,0,0,117.426,100.489,16.9371,0.865,0.539,0.487,0.79,0.306,0.312,0.149,0.136,-0.013,0.277,0.748,0.544,0.598,0.471,0.594,0.354,0.402,0.34,0.406,0.534,81.541,2.275,64.382,66.1056,21,28.597,0.9
2024,Colgate,Pat,14,0,0,0,0,0,0,0,0,104.65,102.5,2.15009,0.513,0.534,0.472,0.68,0.276,0.245,0.163,0.161,-0.002,0.25,0.755,0.533,0.617,0.487,0.604,0.357,0.383,0.299,0.396,0.566,81.273,1.902,0.2,66.2225,24,11.19,-4.1
2024,College of Charleston,CAA,13,0,0,0,0,0,0,0,0,113.736,106.128,7.60727,0.702,0.524,0.506,0.722,0.269,0.283,0.143,0.164,0.021,0.335,0.734,0.526,0.529,0.505,0.631,0.348,0.471,0.338,0.369,0.536,81.18,1.788,5.524,69.7757,26,11.135,-1.6
2024,Colorado,P12,10,1,0,1,0,0,0,0,0,117.579,99.1127,18.4666,0.886,0.553,0.493,0.778,0.353,0.281,0.181,0.152,-0.029,0.324,0.76,0.536,0.696,0.501,0.647,0.394,0.304,0.319,0.353,0.561,81.561,2.2,38.964,67.5085,24,26.08,1.7
2024,Colorado St.,MWC,10,0,0,0,0,0,0,0,0,115.382,98.779,16.6027,0.846,0.546,0.493,0.754,0.326,0.318,0.148,0.169,0.021,0.243,0.725,0.576,0.617,0.485,0.66,0.332,0.383,0.34,0.34,0.657,79.048,2.578,21.58,65.8043,22,27.18,1.5
2024,Connecticut,BE,1,6,1,1,1,1,1,1,1,126.608,94.3949,32.213,0.971,0.571,0.451,0.742,0.333,0.325,0.149,0.162,0.013,0.365,0.732,0.585,0.591,0.437,0.668,0.367,0.409,0.319,0.332,0.637,81.572,1.709,58.255,64.4543,31,33.643,11.3
2024,Creighton,BE,3,2,0,1,1,0,0,0,0,120.091,96.6912,23.3993,0.929,0.575,0.464,0.781,0.245,0.162,0.153,0.112,-0.041,0.259,0.754,0.606,0.511,0.457,0.728,0.361,0.489,0.322,0.272,0.586,82.574,2.322,52.884,67.0297,23,33.229,4.4
