,Year,Team,Proj_Wins_Risky
592,2016,Florida Gulf Coast,0.04953311387682217
593,2016,Fairleigh Dickinson,0.015071867182923285
597,2016,Chattanooga,0.23563914063831554
694,2016,Weber St.,0.058299477831534274
572,2016,South Dakota St.,0.30663694683506343
582,2016,Temple,0.6371644396937471
586,2016,UNC Asheville,0.07494882197908166
595,2016,Colorado,0.4501964370496555
600,2016,Buffalo,0.06814376772059733
602,2016,Austin Peay,0.012016146121571866
603,2016,Arizona,0.9009855193299848
675,2016,Vanderbilt,0.5938830432146975
578,2016,Seton Hall,1.0964437994476068
584,2016,Texas Tech,0.22772984296826349
587,2016,Iona,0.20976766942211572
589,2016,Hampton,0.025076676668818427
591,2016,Fresno St.,0.3517211593131744
594,2016,Dayton,0.4273136731403085
6,2015,Duke,2.187490964016974
15,2015,Wisconsin,5.429669241891313
29,2015,Kentucky,5.061295419403303
27,2015,Michigan St.,0.909891029441824
74,2015,Arizona,2.9281604060262163
69,2015,Gonzaga,1.6677028148178898
64,2015,Louisville,1.5993670133003133
60,2015,Notre Dame,1.314149472829003
96,2015,North Carolina,2.3575287406025724
117,2015,Oklahoma,1.669904585364737
106,2015,Utah,0.7255229570972753
104,2015,West Virginia,1.946109809314408
100,2015,Xavier,0.6021460179860549
109,2015,North Carolina St.,0.6731144956909997
103,2015,Wichita St.,1.1387297635099827
97,2015,UCLA,0.568802707785005
359,2015,Virginia,4.003158102028858
371,2015,Villanova,2.8013718203048676
367,2015,Kansas,1.6674418073924497
295,2015,Butler,1.3446565990200268
292,2015,Arkansas,0.9044120766754966
382,2015,Oregon,0.7106254086140739
379,2015,Northern Iowa,1.1289622333187823
362,2015,Georgetown,0.6571989716450091
366,2015,Iowa,0.8654580960786716
375,2015,San Diego St.,1.1252651932402586
328,2015,Cincinnati,0.41774086850913383
370,2015,Maryland,1.1710667641164256
363,2015,Georgia St.,0.1962187453447894
383,2015,Ohio St.,0.9934562739505913
357,2015,Dayton,0.18541876558257697
377,2015,UAB,0.06596215493723506
556,2015,Baylor,1.6696624887386995
568,2015,Iowa St.,0.9598270079987613
570,2015,VCU,1.1500247991470423
542,2015,Providence,0.9781893226317641
545,2015,SMU,0.728017071809257
541,2015,Oklahoma St.,0.28565719165834597
549,2015,Texas Southern,0.03180429637344106
551,2015,Mississippi,0.49326133178748616
554,2015,Coastal Carolina,0.08626160762782928
560,2015,BYU,0.5326927614547539
566,2015,Harvard,0.20025784704827088
571,2015,Wofford,0.17509058577378037
550,2015,UC Irvine,0.15307428257224776
552,2015,LSU,0.41172251744740457
555,2015,Albany,0.12473673234649187
557,2015,Belmont,0.05882056557643248
558,2015,Boise St.,0.7251622210718662
562,2015,Lafayette,0.029012510907788544
564,2015,Georgia,0.4392025384629898
580,2015,Wyoming,0.06097354942237011
538,2015,North Dakota St.,0.08322428818853929
539,2015,North Florida,0.04796299662542115
543,2015,Robert Morris,0.03779115328660316
546,2015,St. John's,0.5486013956934571
547,2015,Stephen F. Austin,0.2188011778050585
561,2015,Davidson,0.6673434149794825
563,2015,Eastern Washington,0.13301215334094785
536,2015,Purdue,0.3857757193170661
537,2015,New Mexico St.,0.08968118854701752
540,2015,Northeastern,0.08509813526270121
544,2015,Manhattan,0.03356910762778315
548,2015,Texas,0.8862583872793823
559,2015,Buffalo,0.41877806247365534
565,2015,Hampton,0.01470047646353392
567,2015,Indiana,0.5764726107953637
569,2015,Valparaiso,0.4614791826198535
0,2014,Connecticut,0.9565174675168502
22,2014,Kentucky,1.2329638862501806
30,2014,Florida,3.5622353954389037
39,2014,Wisconsin,1.2191942745574138
81,2014,Arizona,2.170733425505878
53,2014,Michigan St.,2.169130224391541
52,2014,Michigan,1.5726083833550177
56,2014,Dayton,0.41697321039775137
162,2014,Virginia,2.6531477620764465
166,2014,San Diego St.,1.4621603753347585
163,2014,UCLA,2.627694544419927
179,2014,Louisville,2.0300422521414094
182,2014,Baylor,0.9519349933298523
183,2014,Iowa St.,1.4262663321116098
165,2014,Stanford,0.5334558872748821
186,2014,Tennessee,0.7483746613927404
282,2014,Syracuse,3.701667539419969
288,2014,Wichita St.,2.1837670767598683
319,2014,Creighton,1.6555651331233572
286,2014,Villanova,1.689914946141715
