,Year,Team,Proj_Wins_Agg,Wins_Rank_Agg
355,2019,Oregon,1.0548127977466724,24
357,2019,Buffalo,1.138166768845486,22
365,2019,Florida,1.0649275500631477,23
359,2019,Maryland,0.947603970058186,28
361,2019,Oklahoma,0.6094253364307628,34
362,2019,Villanova,1.0283052100005938,25
356,2019,Kansas,1.7454836658316069,10
363,2019,Washington,0.8718003360030426,29
364,2019,Wofford,1.1425431884104138,21
366,2019,Baylor,0.5967043265145879,36
367,2019,Murray St.,0.29908090548395716,50
358,2019,Minnesota,0.4707554146020485,42
360,2019,UCF,0.4822539421826062,41
368,2019,Liberty,0.26471107160752694,54
369,2019,Iowa,0.5506266815845446,39
370,2019,UC Irvine,0.4546841960973821,44
371,2019,Ohio St.,0.4355949465024007,45
378,2019,Kansas St.,1.555359506722374,15
375,2019,Marquette,0.732144699767418,32
376,2019,Syracuse,0.9833035391264715,27
372,2019,Mississippi St.,1.42385830739086,18
390,2019,Louisville,0.8103114248994157,31
394,2019,VCU,0.5698680499516209,38
373,2019,Wisconsin,1.3426642282726693,19
377,2019,Cincinnati,1.1600058400619733,20
379,2019,Iowa St.,0.9898175522639956,26
374,2019,Nevada,0.8282573177831003,30
380,2019,Montana,0.15369427658659984,59
381,2019,Northern Kentucky,0.17425038803278192,57
382,2019,Prairie View A&M,0.060343764136442525,63
383,2019,St. John's,0.434132911952291,46
384,2019,Arizona St.,0.428208334318809,48
385,2019,Fairleigh Dickinson,0.0369979581310623,67
386,2019,Vermont,0.2527732526767116,55
387,2019,North Carolina Central,0.023600729985931348,68
388,2019,North Dakota St.,0.04784455995205812,65
389,2019,Saint Louis,0.28530035971161005,52
391,2019,Bradley,0.0628199609272525,62
392,2019,Belmont,0.3368607796527775,49
393,2019,Temple,0.5142151577185705,40
395,2019,Yale,0.16618340044947505,58
396,2019,Old Dominion,0.29696985162616657,51
397,2019,Saint Mary's,0.626169853661523,33
398,2019,Mississippi,0.5923920434436973,37
399,2019,Colgate,0.14309094697277186,60
400,2019,Gardner Webb,0.05553641056602205,64
401,2019,Abilene Christian,0.09634172045103252,61
402,2019,Northeastern,0.1862318219377881,56
403,2019,New Mexico St.,0.6079247388708287,35
404,2019,Seton Hall,0.46430177395566674,43
405,2019,Georgia St.,0.2836378641272454,53
406,2019,Iona,0.0451108966466124,66
407,2019,Utah St.,0.42919945188652553,47
272,2021,Baylor,3.944481072433096,1
273,2021,Gonzaga,3.5327978934017277,3
274,2021,Houston,2.656820253370452,4
275,2021,UCLA,0.7482093157394261,33
276,2021,Michigan,2.183327518661862,6
277,2021,USC,1.654628499289223,9
278,2021,Arkansas,1.5713655673909703,12
279,2021,Oregon St.,0.38132663915250153,46
280,2021,Alabama,3.921628935323457,2
281,2021,Creighton,1.171273338985253,21
282,2021,Oregon,1.3698643861714663,15
283,2021,Florida St.,1.0437384902435753,24
284,2021,Villanova,1.0763352239231772,23
285,2021,Oral Roberts,0.08679485737443628,61
286,2021,Syracuse,0.8173928470097537,30
287,2021,Loyola Chicago,0.6486910615988829,36
289,2021,Iowa,2.0322455056899527,7
288,2021,Illinois,2.560361007686354,5
290,2021,Colorado,1.806325137376602,8
292,2021,Oklahoma St.,1.2629561453695881,18
293,2021,Kansas,1.6005590705060428,11
298,2021,Oklahoma,0.5446682514387068,40
294,2021,LSU,1.4587168174970158,14
295,2021,Florida,0.6857980103821714,35
296,2021,Texas Tech,0.8069060088506876,32
291,2021,West Virginia,0.987382498938187,28
299,2021,Ohio,0.1981454715410112,54
300,2021,Maryland,0.4991674041207984,42
301,2021,Abilene Christian,0.20376294137456172,53
302,2021,Wisconsin,1.1496698652847845,22
303,2021,North Texas,0.22717691501428,52
297,2021,Rutgers,0.7144072501552687,34
304,2021,Ohio St.,1.6404171214602834,10
305,2021,Virginia,1.2195114088784629,19
306,2021,Texas,1.5051172961020645,13
307,2021,Purdue,1.3277441540182264,16
312,2021,San Diego St.,1.1890946520831134,20
309,2021,Connecticut,1.0000557114749242,26
310,2021,BYU,0.9157594414706218,29
311,2021,North Carolina,1.2751525887346884,17
313,2021,Tennessee,0.9897207265831691,27
314,2021,Georgia Tech,0.8142384684493064,31
339,2021,Clemson,1.0157936653300486,25
308,2021,Missouri,0.5435717203999128,41
315,2021,VCU,0.5702082918526291,38
316,2021,Wichita St.,0.31372150192455894,50
317,2021,UC Santa Barbara,0.3188998701521264,49
318,2021,Norfolk St.,0.04772979650197483,66
319,2021,Grand Canyon,0.13466600026869,58
320,2021,Eastern Washington,0.11352021557798389,60
321,2021,Drake,0.5598363196990461,39
322,2021,Appalachian St.,0.043497473027554245,67
323,2021,UNC Greensboro,0.30236899012265983,51
324,2021,Michigan St.,0.44866302723362717,45
325,2021,Mount St. Mary's,0.03899590347526535,68
326,2021,St. Bonaventure,0.5962450417011429,37
327,2021,Texas Southern,0.059262436641629945,64
328,2021,Iona,0.0639223498135319,63
329,2021,Georgetown,0.4818419920103721,43
330,2021,Virginia Tech,0.34781485934790224,47
331,2021,Winthrop,0.337486258382627,48
332,2021,Utah St.,0.45388510787837,44
333,2021,Hartford,0.07377468937599152,62
334,2021,Colgate,0.19244638220230614,55
335,2021,Liberty,0.18849330985040708,56
336,2021,Morehead St.,0.14653383120461144,57
337,2021,Drexel,0.05923033790973715,65
338,2021,Cleveland St.,0.12385485756515435,59
204,2022,Kansas,3.116771884404567,1
205,2022,North Carolina,1.0771338521522527,21
207,2022,Villanova,2.7001876801097486,3
206,2022,Duke,2.629557955238559,5
208,2022,Houston,2.2844050404218454,8
209,2022,Arkansas,0.8448803117665186,25
211,2022,Miami FL,0.8649041862486386,24
210,2022,Saint Peter's,0.09289569952877941,62
213,2022,Gonzaga,2.635830475388226,4
214,2022,Texas Tech,1.4459153822679645,14
215,2022,UCLA,1.862480631364709,12
216,2022,Purdue,1.6184944371948562,13
212,2022,Arizona,2.2070402154840574,9
217,2022,Michigan,0.7040297637375932,34
218,2022,Providence,0.6774299887470898,37
219,2022,Iowa St.,0.799703065152903,29
220,2022,Baylor,3.078876182457085,2
222,2022,Auburn,1.9635191216062515,11
221,2022,Tennessee,2.3676835542762293,7
224,2022,Michigan St.,0.7029624493435238,35
231,2022,Notre Dame,0.724375580557475,32
225,2022,Texas,1.2918452718208868,16
226,2022,Saint Mary's,1.2587142328793237,17
227,2022,Murray St.,0.95510662617254,23
228,2022,Ohio St.,0.6385369534660058,38
230,2022,Illinois,1.183293020959851,19
